Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/11/2022,08/11/2022,Payment Thank You-Mobile,,Payment,1804.56,
08/10/2022,08/11/2022,MTA*NYCT PAYGO,Travel,Sale,-2.75,
08/09/2022,08/11/2022,SUKHUMVIT 51,Food & Drink,Sale,-132.79,
08/10/2022,08/11/2022,LYFT   *1 RIDE 08-09,Travel,Sale,-7.69,
08/09/2022,08/11/2022,MTA*NYCT PAYGO,Travel,Sale,-2.75,
08/09/2022,08/10/2022,2ND AVE GOURMET DELI,Groceries,Sale,-5.20,
08/09/2022,08/10/2022,2ND AVE GOURMET DELI,Groceries,Sale,-2.83,
08/08/2022,08/09/2022,CHIPOTLE 1879,Food & Drink,Sale,-12.63,
08/06/2022,08/09/2022,DELITERIA,Groceries,Sale,-9.33,
08/08/2022,08/09/2022,SQ *TAP MIDTOWN,Food & Drink,Sale,-14.42,
08/08/2022,08/09/2022,MTA*NYCT PAYGO,Travel,Sale,-2.75,
08/08/2022,08/09/2022,MTA*NYCT PAYGO,Travel,Sale,-2.75,
08/08/2022,08/09/2022,45 DELI,Groceries,Sale,-2.60,
08/08/2022,08/09/2022,ON-SITE MA* BLDG MANAG,Personal,Sale,-20.00,
08/08/2022,08/09/2022,45 DELI,Groceries,Sale,-6.22,
08/07/2022,08/08/2022,SQ *BLANK STREET,Food & Drink,Sale,-5.17,
08/06/2022,08/08/2022,AL HORNO LEAN MEXICAN,Food & Drink,Sale,-13.83,
08/07/2022,08/08/2022,LYFT   *2 RIDES 08-06,Travel,Sale,-33.84,
08/07/2022,08/08/2022,SQ *HEMPED NYC LLC,Shopping,Sale,-65.27,
08/07/2022,08/08/2022,TST* MARINARA PIZZA - 985,Food & Drink,Sale,-9.26,
08/06/2022,08/07/2022,DUNKIN #362897,Food & Drink,Sale,-3.26,
08/05/2022,08/07/2022,MTA*NYCT PAYGO,Travel,Sale,-2.75,
08/05/2022,08/07/2022,TST* Naya Vesey,Food & Drink,Sale,-13.50,
08/05/2022,08/07/2022,MTA*NYCT PAYGO,Travel,Sale,-2.75,
08/07/2022,08/07/2022,OXFORD PROPERTY GRP,Professional Services,Sale,-20.00,
08/05/2022,08/07/2022,TST* Sushi &amp; Co 2,Food & Drink,Sale,-21.99,
08/06/2022,08/07/2022,TST* Bobwhite Counter - A,Food & Drink,Sale,-12.92,
